Phân khúc,Mã Sản Phẩm,Mô Hình Tối Ưu,Val_sMAPE (%),Val_RMSE,Dự báo T1/2026 (Áp dụng tính mùa vụ),Dự báo T2/2026 (Áp dụng tính mùa vụ),Dự báo T3/2026 (Áp dụng tính mùa vụ)
C - Sparse,"41.L1.3060.UT36100(1T,2D,3V)",Naive,48.47,6013.13,0,0,0
C - Sparse,41.L1.4060.MS46200(1-4),Naive,71.85,2257.55,0,0,0
C - Sparse,41.L1.4060.MT46200(1-4),Naive,97.33,7209.55,0,0,0
C - Sparse,"41.L1.4080.M420(1,3)",Croston,130.95,160.37,50,19,28
C - Sparse,"41.L1.4080.S420(1,4,6,8)",Croston,21.02,31.21,10,0,87
C - Sparse,"41.L1.4080.U420(1,3)",MA6,139.18,141.17,21,8,274
C - Sparse,41.L1.5050.9150(1-8),MA3,30.19,13966.65,14116,58928,72195
C - Sparse,41.L1.5050.MS55200(1-3),Naive,200,7210.76,0,0,0
C - Sparse,41.L1.5050.S515(1-5),MA3,26.66,734.62,0,0,0
C - Sparse,41.L1.5050.UT55200(1-4),Naive,200,15935.81,0,0,0
C - Sparse,41.L1.6060.AM615(1-7),Naive,30.8,8819.65,0,0,0
C - Sparse,"41.L1.6060.AS615(2,4)",MA3,52.74,3744.44,0,0,0
C - Sparse,41.L1.6060.AU615(1-8),MA3,8.18,1882.1,0,0,0
C - Sparse,41.L1.6060.MS66300(1-5),Naive,200,19526.33,0,0,0
C - Sparse,"41.L2.3060.D311(4,6)",Naive,0,0,0,0,0
C - Sparse,"41.L2.3060.D32(09,14)",Naive,0,0,0,0,0
C - Sparse,42.HC.A300FUS.TRANG/TRONG,Naive,0,0,0,0,0
C - Sparse,42.HC.A500FUS.TRANG/TRONG,Naive,0,0,0,0,0
C - Sparse,44.HC.A500UC.TRONG,MA3,83,52.03,81,36,18
C - Sparse,45.PK.LUX.HG.606,Croston,70.42,7.95,0,0,0
C - Sparse,"45.PK.LUX.MA.(07,304.05)",MA3,117.69,14.98,10,0,16
