Mã Sản Phẩm,Phân khúc,Trọng số tháng 1,Trọng số tháng 2,Trọng số tháng 3
36.L2.3060.USC36(21-29),C - Sparse,0.0,0.0,3.7543
"36.L2.3060.USC36(31,33,37,38,39)",C - Sparse,0.0,3.1883,4.6712
36.L2.6060.N6002,C - Sparse,0.0,0.0,0.0
"36.L3.3060.USC3601,36.L3.3060.USC3602",C - Sparse,3.1927,2.4605,2.154
"36.L3.3060.USC3603(D,V)",C - Sparse,1.0909,4.5227,0.0
36.L3.3060.USC3604(D),C - Sparse,0.0,6.2184,3.6306
36.L3.3060.USC36(21-29),C - Sparse,0.0,1.6103,7.7793
36.L3.3060.USC363x,C - Sparse,0.0,0.2819,3.7865
38.L1.3060.KAI3607(D),C - Sparse,0.2352,0.0,0.853
38.L1.3060.KAI3608,C - Sparse,0.3153,0.0,0.8868
"38.L1.4080.UT481001(D,T,V)",C - Sparse,0.0,0.0,0.0
"38.L1.4080.UT481002(D,V)",C - Sparse,0.0,0.0,0.0
"38.L1.4080.UT481003(D,V)",C - Sparse,0.0,0.0,0.0
"38.L1.4080.UT481004(D,T,V)",C - Sparse,0.0,0.0,0.0
"38.L1.4080.UT481005(D,V)",C - Sparse,0.0,0.0,0.0
"38.L1.4080.UT481006(D,V)",C - Sparse,0.0,0.0,0.0
"39.L2.6060.UGG60(01,03,04,06,07,10)",C - Sparse,0.0,0.0,0.0
41.L1.3060.M330(1-8),C - Sparse,0.0,0.0,0.0
"41.L1.3060.M340(1,3,5,7)",C - Sparse,0.0,0.0,0.0
"41.L1.3060.MS36100(1T,2D,3V)",C - Sparse,0.0,0.0,0.0
"41.L1.3060.MT36100(1T,2D,3V)",C - Sparse,0.0,0.0,0.0
41.L1.3060.S310(1-8),C - Sparse,0.3854,0.0,0.0
41.L1.3060.U330(1-8),C - Sparse,0.0,0.0,0.0
"41.L1.3060.U340(1,3,5,7)",C - Sparse,0.0,0.0,0.0
"41.L1.3060.UT36100(1T,2D,3V)",C - Sparse,0.0,0.0,0.0
41.L1.4060.MS46200(1-4),C - Sparse,0.0,0.0,0.0
41.L1.4060.MT46200(1-4),C - Sparse,0.0,0.0,0.0
"41.L1.4080.M420(1,3)",C - Sparse,0.2813,0.1036,0.1569
"41.L1.4080.S420(1,4,6,8)",C - Sparse,0.1101,0.0,0.9355
"41.L1.4080.U420(1,3)",C - Sparse,0.14,0.0516,1.8346
41.L1.5050.9150(1-8),C - Sparse,0.2853,1.1912,1.4593
41.L1.5050.MS55200(1-3),C - Sparse,0.0,0.0,0.0
41.L1.5050.S515(1-5),C - Sparse,0.0,0.0,0.0
41.L1.5050.UT55200(1-4),C - Sparse,0.0,0.0,0.0
41.L1.6060.AM615(1-7),C - Sparse,0.0,0.0,0.0
"41.L1.6060.AS615(2,4)",C - Sparse,0.0,0.0,0.0
41.L1.6060.AU615(1-8),C - Sparse,0.0,0.0,0.0
41.L1.6060.MS66300(1-5),C - Sparse,0.0,0.0,0.0
"41.L2.3060.D311(4,6)",C - Sparse,0.0,0.0,0.0
"41.L2.3060.D32(09,14)",C - Sparse,0.0,0.0,0.0
42.HC.A300FUS.TRANG/TRONG,C - Sparse,0.0,0.2127,0.2127
42.HC.A500FUS.TRANG/TRONG,C - Sparse,0.0,0.0,1.0431
44.HC.A500UC.TRONG,C - Sparse,1.2747,0.5665,0.2833
45.PK.LUX.HG.606,C - Sparse,0.0,0.0,0.0
"45.PK.LUX.MA.(07,304.05)",C - Sparse,0.5385,0.0,0.9231
45.PK.LUX.TS.120.120.54/62,C - Sparse,0.2095,0.6286,0.3143
45.PK.LUX.VK.505,C - Sparse,0.44,0.0,0.0
45.PK.LUX.XP.304,C - Sparse,0.0,0.0,0.0
45.TB.LUX.CRC.82.45.2.K,C - Sparse,0.0,1.1,0.0
"46.L1.4080.USC4804(D,V)",C - Sparse,0.2173,0.8274,0.8787
"46.L1.4080.USC4806(D,V)",C - Sparse,0.2309,1.3679,0.6209
"46.L1.4080.USC4808(D,V)",C - Sparse,0.227,0.1679,0.9003
"46.L1.4080.USC4809(D,V)",C - Sparse,0.1511,0.3129,1.7938
"47.L1.3060.FP936601(D,V)",C - Sparse,0.0,0.0,0.5981
47.L1.3060.FP936604(D),C - Sparse,0.0,0.0,0.0
47.L1.3060.FP936605,C - Sparse,0.0,0.0,0.0
47.L1.3060.FP936606(D),C - Sparse,0.0,0.0,0.0
47.L1.3060.FP936607,C - Sparse,0.0,0.0,0.0
"47.L1.3060.FP936608(D,V)",C - Sparse,0.0,0.0,0.0
47.L1.3060.FP936610(D),C - Sparse,0.0,0.0,0.0
"47.L1.3060.FP9366(11,12/12D)",C - Sparse,0.0,0.0,0.0
47.L1.3060.FP936613,C - Sparse,0.0,0.0,0.7029
"47.L1.4080.FP948601(D,V)",C - Sparse,0.0,0.0,0.0
"47.L1.4080.FP948602(D,V)",C - Sparse,0.0,0.0,0.0
"47.L1.4080.FP948603(D,V)",C - Sparse,0.0,0.0,0.0
"47.L1.4080.FP948604(D,V)",C - Sparse,0.0,0.0,0.0
"47.L1.6060.AFP9660(0,4,7)",C - Sparse,0.0,0.0,0.0
"47.L1.6060.AFP96660(2,5)",C - Sparse,0.0,0.0,0.0
"47.L1.6060.AFPH96600(1,9)",C - Sparse,0.0,0.0,0.0
47.L1.6060.FP96600,C - Sparse,0.0,2.3857,2.7734
47.L1.6060.FP966605,C - Sparse,0.0,1.1852,0.8479
47.L1.6060.FPU6666,C - Sparse,0.0,0.0,0.7532
"47.L1.6060.FPU96600(2,3,9)",C - Sparse,0.0,0.7122,1.8884
47.L1.6060.MECO633,C - Sparse,0.0,0.0,0.0
"47.L1.8080.FP186(00,66)",C - Sparse,0.0,0.0959,1.4591
"47.L1.8080.FPU1880(05,11,13,33,35)', '47.L1.8080.FPU188011', '47.L1.8080.FPU188013', '47.L1.8080.FPU188033', '47.L1.8080.FPU188035']",C - Sparse,0.0,0.5578,0.6251
"47.L1.8080.FPU80(03,17)",C - Sparse,1.3839,0.6747,0.3981
47.L2.8080.CTN8002DB,C - Sparse,0.0,0.0,0.0
29.L1.3060.FC39006D,C - Sparse,0.0,0.0,1.5982
29.L1.3060.FC39007,C - Sparse,0.0,0.0,1.0509
36.L3.3060.USC3602,C - Sparse,4.8171,2.0579,0.0
41.L1.6060.AU6155,C - Sparse,0.0,0.0,0.0
